sample_code,color,freshness_index,sample_num,mass_g
G11,green,1,1,0.47
G12,green,1,2,0.55
G13,green,1,3,0.44
G14,green,1,4,0.53
G15,green,1,5,0.59
G21,green,2,1,0.40
G22,green,2,2,0.45
G23,green,2,3,0.53
G24,green,2,4,0.37
G25,green,2,5,0.47
G31,green,3,1,0.53
G32,green,3,2,0.46
G33,green,3,3,0.53
G34,green,3,4,0.40
G35,green,3,5,0.41
R11,red,1,1,0.41
R12,red,1,2,0.46
R13,red,1,3,0.44
R14,red,1,4,0.42
R15,red,1,5,0.38
R21,red,2,1,0.48
R22,red,2,2,0.49
R23,red,2,3,0.44
R24,red,2,4,0.44
R25,red,2,5,0.40
R31,red,3,1,0.53
R32,red,3,2,0.54
R33,red,3,3,0.56
R34,red,3,4,0.50
R35,red,3,5,0.47
