color,time_days,loading,variant,r2
green,0.0,compression,compression_only,-17.708481257802315
green,0.0,compression,unloading_only,-19.61275565697392
green,0.0,compression,shear_only,-20.695823810528783
green,0.0,compression,weighted_all,-17.728942637528803
green,0.0,unloading,compression_only,-2.9540081526330617
green,0.0,unloading,unloading_only,-1.9450476484228076
green,0.0,unloading,shear_only,-1.4714232480538048
green,0.0,unloading,weighted_all,-2.9417960221071544
green,0.0,shear,compression_only,-5.98149127526608
green,0.0,shear,unloading_only,-6.722406387663395
green,0.0,shear,shear_only,-7.143525583172849
green,0.0,shear,weighted_all,-5.9893779220031425
green,1.0,compression,compression_only,-16.810463661678458
green,1.0,compression,unloading_only,-17.86413120257142
green,1.0,compression,shear_only,-18.450610691381574
green,1.0,compression,weighted_all,-16.825231154452528
green,1.0,unloading,compression_only,-1.8824286845790992
green,1.0,unloading,unloading_only,-1.3317667632521042
green,1.0,unloading,shear_only,-1.0657245994614915
green,1.0,unloading,weighted_all,-1.8739919786176609
green,1.0,shear,compression_only,-8.808356728587915
green,1.0,shear,unloading_only,-9.640695357430133
green,1.0,shear,shear_only,-10.108457383619823
green,1.0,shear,weighted_all,-8.819854921390064
green,2.0,compression,compression_only,-10.436008644028977
green,2.0,compression,unloading_only,-11.00844908768062
green,2.0,compression,shear_only,-11.3256405679131
green,2.0,compression,weighted_all,-10.444112415032079
green,2.0,unloading,compression_only,-1.7948012405285478
green,2.0,unloading,unloading_only,-1.3231182226490636
green,2.0,unloading,shear_only,-1.0916092966567783
green,2.0,unloading,weighted_all,-1.7875873117812695
green,2.0,shear,compression_only,-13.717208402335775
green,2.0,shear,unloading_only,-15.516288718038751
green,2.0,shear,shear_only,-16.545084172602856
green,2.0,shear,weighted_all,-13.741931907109521
red,0.0,compression,compression_only,-7.731018348873306
red,0.0,compression,unloading_only,-9.19530668252382
red,0.0,compression,shear_only,-9.862161699996305
red,0.0,compression,weighted_all,-7.742824038235602
red,0.0,unloading,compression_only,-3.59311961614672
red,0.0,unloading,unloading_only,-1.8622411526995823
red,0.0,unloading,shear_only,-1.2724048926571552
red,0.0,unloading,weighted_all,-3.576179261761431
red,0.0,shear,compression_only,-8.457186225207137
red,0.0,shear,unloading_only,-9.937900058087497
red,0.0,shear,shear_only,-10.612106047489275
red,0.0,shear,weighted_all,-8.46854282870734
red,1.0,compression,compression_only,-10.85259787142676
red,1.0,compression,unloading_only,-11.7382327000774
red,1.0,compression,shear_only,-12.127759898336768
red,1.0,compression,weighted_all,-10.859898938535801
red,1.0,unloading,compression_only,-1.2128861846780508
red,1.0,unloading,unloading_only,-0.7859769571992496
red,1.0,unloading,shear_only,-0.6255597988341706
red,1.0,unloading,weighted_all,-1.208911338044759
red,1.0,shear,compression_only,-10.966745720925031
red,1.0,shear,unloading_only,-11.640449747725219
red,1.0,shear,shear_only,-11.935025505831307
red,1.0,shear,weighted_all,-10.972050883804947
red,2.0,compression,compression_only,-12.972118057573423
red,2.0,compression,unloading_only,-13.602768861700804
red,2.0,compression,shear_only,-13.877262695737361
red,2.0,compression,weighted_all,-12.977351850988166
red,2.0,unloading,compression_only,-1.021411513438795
red,2.0,unloading,unloading_only,-0.7016876430175218
red,2.0,unloading,shear_only,-0.5788850792474578
red,2.0,unloading,weighted_all,-1.0184708170606314
red,2.0,shear,compression_only,-13.209255483084025
red,2.0,shear,unloading_only,-14.046105797909046
red,2.0,shear,shear_only,-14.412981590016507
red,2.0,shear,weighted_all,-13.215828293126341
