color,time_days,loading,r2,compression_r2,shear_r2,shear_weight,exp_scale_linear,exp_scale_quadratic,log_scale_linear,log_scale_quadratic
green,0.0,compression,0.8895906348673585,0.8895906348673585,0.9999190014548536,1.0,4.0,4.0,4.0,4.0
green,0.0,shear,0.9999190014548536,0.8895906348673585,0.9999190014548536,1.0,4.0,4.0,4.0,4.0
green,1.0,compression,0.907436472598693,0.907436472598693,0.9998750451629222,3.0,4.0,4.0,4.0,4.0
green,1.0,shear,0.9998750451629222,0.907436472598693,0.9998750451629222,3.0,4.0,4.0,4.0,4.0
green,2.0,compression,0.9123406345541422,0.9123406345541422,0.9987504177741536,10.0,4.0,4.0,4.0,4.0
green,2.0,shear,0.9987504177741536,0.9123406345541422,0.9987504177741536,10.0,4.0,4.0,4.0,4.0
red,0.0,compression,0.9762067254929084,0.9762067254929084,0.9999074107572667,10.0,4.0,4.0,4.0,4.0
red,0.0,shear,0.9999074107572667,0.9762067254929084,0.9999074107572667,10.0,4.0,4.0,4.0,4.0
red,1.0,compression,0.9757207321220956,0.9757207321220956,0.9998857246191707,10.0,4.0,4.0,4.0,4.0
red,1.0,shear,0.9998857246191707,0.9757207321220956,0.9998857246191707,10.0,4.0,4.0,4.0,4.0
red,2.0,compression,0.9633902716450837,0.9633902716450837,0.9988505647456202,2.0,4.0,4.0,4.0,4.0
red,2.0,shear,0.9988505647456202,0.9633902716450837,0.9988505647456202,2.0,4.0,4.0,4.0,4.0
