color,time_days,loading,deformation,predicted_stress_pa
green,0.0,compression,0.95,1064.6367765844625
green,0.0,compression,0.9,1360.1083236176055
green,0.0,compression,0.85,1719.0392206255347
green,0.0,shear,0.05,301.0446650265076
green,0.0,shear,0.1,393.873283407127
green,0.0,shear,0.15,393.873283407127
green,1.0,compression,0.95,825.8531640176952
green,1.0,compression,0.9,1183.8666582467267
green,1.0,compression,0.85,1496.7283955675666
green,1.0,shear,0.05,193.8808013862581
green,1.0,shear,0.1,248.21608041142463
green,1.0,shear,0.15,248.21608041142463
green,2.0,compression,0.95,705.2052008409664
green,2.0,compression,0.9,1140.0587145819154
green,2.0,compression,0.85,1463.165867249365
green,2.0,shear,0.05,116.51120817670744
green,2.0,shear,0.1,124.45761391659471
green,2.0,shear,0.15,124.45761391659471
