color,time_days,term,coefficient
green,0.0,I1-3,-91018.11756012743
green,0.0,exp(I1-3)-1,-88677.21117609153
green,0.0,ln(1+(I1-3)),106137.93687443527
green,0.0,(I1-3)^2,40030.544796512666
green,0.0,exp((I1-3)^2)-1,140656.46142485845
green,0.0,ln(1+((I1-3)^2)),257056.9966022966
green,0.0,I2-3,69885.26637528047
green,0.0,exp(I2-3)-1,-33438.86264640414
green,0.0,ln(1+(I2-3)),22118.282002853346
green,0.0,(I2-3)^2,-19669.60151281546
green,0.0,exp((I2-3)^2)-1,164703.371266577
green,0.0,ln(1+((I2-3)^2)),-88944.5159381035
green,1.0,I1-3,-1874.4401944438237
green,1.0,exp(I1-3)-1,-62381.744403716606
green,1.0,ln(1+(I1-3)),56629.162277075164
green,1.0,(I1-3)^2,25859.780050640144
green,1.0,exp((I1-3)^2)-1,72041.80512705838
green,1.0,ln(1+((I1-3)^2)),193667.7735263742
green,1.0,I2-3,-9993.15060172889
green,1.0,exp(I2-3)-1,-31396.917820408227
green,1.0,ln(1+(I2-3)),40673.62698770894
green,1.0,(I2-3)^2,-10557.57749450198
green,1.0,exp((I2-3)^2)-1,150781.97748156576
green,1.0,ln(1+((I2-3)^2)),-53647.60917194777
green,2.0,I1-3,112642.23756803796
green,2.0,exp(I1-3)-1,-45087.28249150144
green,2.0,ln(1+(I1-3)),8913.514306637095
green,2.0,(I1-3)^2,14981.596105216004
green,2.0,exp((I1-3)^2)-1,-3392.9261848298343
green,2.0,ln(1+((I1-3)^2)),161864.03985122754
green,2.0,I2-3,-119388.0907466753
green,2.0,exp(I2-3)-1,-30739.026746452106
green,2.0,ln(1+(I2-3)),68943.94864354031
green,2.0,(I2-3)^2,1200.397944204475
green,2.0,exp((I2-3)^2)-1,152913.11545298807
green,2.0,ln(1+((I2-3)^2)),-19525.777335954874
