color,time_days,loading,deformation,predicted_stress_pa
red,0.0,compression,0.95,688.1036246182921
red,0.0,compression,0.9,892.8891561884084
red,0.0,compression,0.85,1232.4863109601429
red,0.0,shear,0.05,236.45044623525374
red,0.0,shear,0.1,304.9907749289899
red,0.0,shear,0.15,329.6462098944923
red,1.0,compression,0.95,891.8810998363188
red,1.0,compression,0.9,1106.5755392866558
red,1.0,compression,0.85,1575.5247813540045
red,1.0,shear,0.05,332.47058302405947
red,1.0,shear,0.1,426.3467928800007
red,1.0,shear,0.15,463.4935022668023
red,2.0,compression,0.95,1071.7420492887613
red,2.0,compression,0.9,1482.0967338074115
red,2.0,compression,0.85,1925.1466246506898
red,2.0,shear,0.05,270.07466770846156
red,2.0,shear,0.1,303.6164781604031
red,2.0,shear,0.15,303.6660870415586
