color,time_days,term,coefficient
red,0.0,I1-3,-68597.28185094938
red,0.0,exp(I1-3)-1,-70151.06729987255
red,0.0,ln(1+(I1-3)),85702.95838103669
red,0.0,(I1-3)^2,31933.23866527524
red,0.0,exp((I1-3)^2)-1,101518.04314519663
red,0.0,ln(1+((I1-3)^2)),198017.84442912744
red,0.0,I2-3,71111.38191943102
red,0.0,exp(I2-3)-1,-11558.502311187201
red,0.0,ln(1+(I2-3)),-3999.476619783742
red,0.0,(I2-3)^2,-14648.798298013764
red,0.0,exp((I2-3)^2)-1,91232.54463878601
red,0.0,ln(1+((I2-3)^2)),-82254.49778412413
red,1.0,I1-3,-121787.19480961513
red,1.0,exp(I1-3)-1,-105558.90307995393
red,1.0,ln(1+(I1-3)),135112.10789800168
red,1.0,(I1-3)^2,48488.145123443515
red,1.0,exp((I1-3)^2)-1,159889.48859672758
red,1.0,ln(1+((I1-3)^2)),292760.4324056365
red,1.0,I2-3,134063.8806961889
red,1.0,exp(I2-3)-1,-12788.36957056784
red,1.0,ln(1+(I2-3)),-18964.79933690306
red,1.0,(I2-3)^2,-24257.48689643477
red,1.0,exp((I2-3)^2)-1,121130.72039121056
red,1.0,ln(1+((I2-3)^2)),-130245.6802674609
red,2.0,I1-3,-81208.92386309245
red,2.0,exp(I1-3)-1,-76327.39795923328
red,2.0,ln(1+(I1-3)),89322.03450015541
red,2.0,(I1-3)^2,35802.08754123425
red,2.0,exp((I1-3)^2)-1,122207.7226456985
red,2.0,ln(1+((I1-3)^2)),227871.5671612257
red,2.0,I2-3,38356.808164985676
red,2.0,exp(I2-3)-1,-31092.943434296172
red,2.0,ln(1+(I2-3)),29581.25516353434
red,2.0,(I2-3)^2,-14490.064171734006
red,2.0,exp((I2-3)^2)-1,145338.34260174516
red,2.0,ln(1+((I2-3)^2)),-69968.63644913866
