color,variant,time_days,loading,sample_r2,summary_r2
green,time_only,0.0,compression,0.3063257863627923,0.5875519076417721
green,time_only,0.0,shear,0.6077034728452624,0.8980086903136572
green,time_only,1.0,compression,0.3572205170776406,0.6911356147303327
green,time_only,1.0,shear,0.37861048067335457,0.8721797814557297
green,time_only,2.0,compression,0.3887316666932993,0.7497868219741175
green,time_only,2.0,shear,-0.19877447527524295,-0.22635348981916947
green,mass_only,0.0,compression,-0.00953877442926232,0.22097148025335578
green,mass_only,0.0,shear,0.45611847739668965,0.4869245959446735
green,mass_only,1.0,compression,0.5022556162699876,0.7392559781982152
green,mass_only,1.0,shear,0.30756540994157566,0.3916105173307053
green,mass_only,2.0,compression,0.47528522419947583,0.8199590991794694
green,mass_only,2.0,shear,-18.85088709405416,-32.19734357807511
green,time_mass,0.0,compression,0.25170162868658386,0.5740729500093631
green,time_mass,0.0,shear,0.6082541268251069,0.8961973924063427
green,time_mass,1.0,compression,0.4729958646372837,0.7410301269984454
green,time_mass,1.0,shear,0.3732022521971996,0.8559289323419383
green,time_mass,2.0,compression,0.48571467273438995,0.7702176268656683
green,time_mass,2.0,shear,-0.11727431379043685,-0.14856158470212866
red,time_only,0.0,compression,0.36268599556981296,0.9076824378050805
red,time_only,0.0,shear,0.2760522354155468,0.8617378812206977
red,time_only,1.0,compression,0.39604596046769425,0.860934339038403
red,time_only,1.0,shear,0.7127259927270899,0.7816414536637624
red,time_only,2.0,compression,0.7744022104359971,0.7847008780306814
red,time_only,2.0,shear,0.5289648064767453,0.5602616415385488
red,mass_only,0.0,compression,0.29014489816582034,-2.0563940954128905
red,mass_only,0.0,shear,0.1774477047613917,0.5754984479767015
red,mass_only,1.0,compression,0.6231639588464976,0.4262450681580764
red,mass_only,1.0,shear,0.4522590090108054,0.4082857769473722
red,mass_only,2.0,compression,0.5189420728684648,0.800751334399118
red,mass_only,2.0,shear,0.27606373187568434,0.027325492412088037
red,time_mass,0.0,compression,0.3161622199142362,0.6157327659557171
red,time_mass,0.0,shear,0.2764347740060541,0.8399057420646701
red,time_mass,1.0,compression,0.5402841195762761,0.725536277034752
red,time_mass,1.0,shear,0.7137427362723983,0.7728598562283054
red,time_mass,2.0,compression,0.7039037235649246,0.7881379771254219
red,time_mass,2.0,shear,0.5325868716569087,0.5870519263013859
