color,time_days,loading,variant,r2
green,0.0,compression,compression_only,0.9251132548030919
green,0.0,compression,unloading_only,-28.372199356844863
green,0.0,compression,shear_only,-229.61888876960754
green,0.0,compression,joint_comp_shear,0.8423969199866579
green,0.0,unloading,compression_only,-36.886658661575034
green,0.0,unloading,unloading_only,0.9972631756754029
green,0.0,unloading,shear_only,-566.1495661541306
green,0.0,unloading,joint_comp_shear,-36.78527168247824
green,0.0,shear,compression_only,-24.5573254731289
green,0.0,shear,unloading_only,-8.587808483852312
green,0.0,shear,shear_only,0.9602496027495342
green,0.0,shear,joint_comp_shear,0.7323758307164289
green,1.0,compression,compression_only,0.9532687667427537
green,1.0,compression,unloading_only,-20.76613327754912
green,1.0,compression,shear_only,-115.52464395625982
green,1.0,compression,joint_comp_shear,0.8850128915401411
green,1.0,unloading,compression_only,-47.28764908009251
green,1.0,unloading,unloading_only,0.9953557129331532
green,1.0,unloading,shear_only,-514.2619073485163
green,1.0,unloading,joint_comp_shear,-47.13321339838544
green,1.0,shear,compression_only,-48.83641413040488
green,1.0,shear,unloading_only,-9.129719595711974
green,1.0,shear,shear_only,0.9551480018424894
green,1.0,shear,joint_comp_shear,0.41323653113439485
green,2.0,compression,compression_only,0.9736894613773714
green,2.0,compression,unloading_only,-14.17791743735694
green,2.0,compression,shear_only,-75.02671660073334
green,2.0,compression,joint_comp_shear,0.9168888411612677
green,2.0,unloading,compression_only,-61.122791993726025
green,2.0,unloading,unloading_only,0.9980172138534181
green,2.0,unloading,shear_only,-560.577450772012
green,2.0,unloading,joint_comp_shear,-60.88368006422036
green,2.0,shear,compression_only,-384.84908232749825
green,2.0,shear,unloading_only,-3.972707652358083
green,2.0,shear,shear_only,0.7833741202354783
green,2.0,shear,joint_comp_shear,-2.637243651926858
red,0.0,compression,compression_only,0.9743890165623106
red,0.0,compression,unloading_only,-15.622960097974268
red,0.0,compression,shear_only,-388.388643491989
red,0.0,compression,joint_comp_shear,0.9513440836670553
red,0.0,unloading,compression_only,-40.067942235656226
red,0.0,unloading,unloading_only,0.9969056327314119
red,0.0,unloading,shear_only,-1422.0485011924875
red,0.0,unloading,joint_comp_shear,-39.72561389195931
red,0.0,shear,compression_only,-11.422346136190033
red,0.0,shear,unloading_only,-7.806344655590175
red,0.0,shear,shear_only,0.9485657983911908
red,0.0,shear,joint_comp_shear,0.8816423714014074
red,1.0,compression,compression_only,0.9681237151322077
red,1.0,compression,unloading_only,-16.36018565897307
red,1.0,compression,shear_only,-571.8593394378007
red,1.0,compression,joint_comp_shear,0.9499148604947534
red,1.0,unloading,compression_only,-26.95204610873174
red,1.0,unloading,unloading_only,0.9898040221654602
red,1.0,unloading,shear_only,-1295.6734159389289
red,1.0,unloading,joint_comp_shear,-26.77113477378953
red,1.0,shear,compression_only,-8.902300409314272
red,1.0,shear,unloading_only,-10.12574156847679
red,1.0,shear,shear_only,0.9063647742261874
red,1.0,shear,joint_comp_shear,0.8348002642932616
red,2.0,compression,compression_only,0.982381853629449
red,2.0,compression,unloading_only,-15.6128519344255
red,2.0,compression,shear_only,-296.5824086731843
red,2.0,compression,joint_comp_shear,0.9481644515686461
red,2.0,unloading,compression_only,-47.08210278541005
red,2.0,unloading,unloading_only,0.998198225167654
red,2.0,unloading,shear_only,-1277.6434390615616
red,2.0,unloading,joint_comp_shear,-47.00682351194071
red,2.0,shear,compression_only,-73.28610970472636
red,2.0,shear,unloading_only,-6.795123040284929
red,2.0,shear,shear_only,0.8567609048902812
red,2.0,shear,joint_comp_shear,0.44624952331784296
