train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
compression_only,compression,test,0.0,1612.1432399054631,1666.4996450347753,-14.909240612943066,9
compression_only,compression,test,1.0,1470.2642845577661,1503.7581025757963,-21.890667277183493,9
compression_only,compression,test,2.0,1763.277839287122,1788.1900515212176,-35.23860366663891,6
compression_only,compression,train,0.0,1462.9755357818603,1552.7413583395435,-8.023963694238706,36
compression_only,compression,train,1.0,1296.623492908042,1367.147814363775,-8.997878881279401,35
compression_only,compression,train,2.0,1070.2919102546907,1138.304892029714,-7.653099015820505,36
compression_only,shear,test,0.0,348.0374289581832,362.9503088497877,-11.214480207068009,99
compression_only,shear,test,1.0,200.3755802241629,212.26885941300552,-8.109222669106625,99
compression_only,shear,test,2.0,237.18948640405256,286.2458042215507,-2.1810811062275914,23
compression_only,shear,train,0.0,295.38477112628874,324.9702710903559,-4.59434062837804,400
compression_only,shear,train,1.0,183.4963722300056,202.59506219607468,-4.518422394713427,379
compression_only,shear,train,2.0,107.52864295985123,114.0172547680326,-7.985031212212116,315
compression_only,tension,test,0.0,477.1281449005127,720.8952513634899,-0.5239886985433877,4
compression_only,tension,test,1.0,327.15995030326843,468.17754812423675,-0.6543112650107707,4
compression_only,tension,test,2.0,434.701412185955,601.1334012597375,-0.861441317426217,4
compression_only,tension,train,0.0,406.02187889566414,598.6680791243158,-0.7061840626962146,16
compression_only,tension,train,1.0,279.7424227619934,392.650525508206,-0.3312076032464386,15
compression_only,tension,train,2.0,236.98457864894098,334.32093436602463,-0.46547448692303317,15
compression_only,overall,test,-1.0,400.8775831976507,586.2236374897115,-0.8743583258039245,257
compression_only,overall,train,-1.0,298.6345320373959,465.7283217463718,-0.6920661359709614,1247
