train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
shear_only,compression,test,0.0,2811.40470985243,3088.390979880091,-53.63910160836141,9
shear_only,compression,test,1.0,2215.3953993055557,2368.0088700289803,-55.763496821680924,9
shear_only,compression,test,2.0,2074.638850911458,2127.4849634337556,-50.295244594209656,6
shear_only,compression,train,0.0,2654.8027306315103,2955.4910830116983,-31.693273251891654,36
shear_only,compression,train,1.0,2024.487609263393,2217.8924418118545,-25.312244014627026,35
shear_only,compression,train,2.0,1624.8694860839848,1785.2845882405518,-20.284790527757714,36
shear_only,shear,test,0.0,110.326130012412,125.2281394181253,-0.4540672926537863,99
shear_only,shear,test,1.0,56.780681777075564,65.35446807889645,0.13650601994895184,99
shear_only,shear,test,2.0,123.36279222679138,138.72660206516156,0.252835926874572,23
shear_only,shear,train,0.0,93.63054607432514,110.85842253154244,0.34897295604333345,400
shear_only,shear,train,1.0,57.68159134241553,68.28404048353464,0.37310378258530374,379
shear_only,shear,train,2.0,44.64823260155578,55.04630093698851,-1.09427982964552,315
shear_only,tension,test,0.0,639.9652667968751,767.9123360392138,-0.7292616313145222,4
shear_only,tension,test,1.0,390.27316591796875,479.01082406261,-0.7317560582512326,4
shear_only,tension,test,2.0,461.78272041015623,564.748677559852,-0.6429262754058154,4
shear_only,tension,train,0.0,542.5232527343751,641.9466612007233,-0.9617857032682737,16
shear_only,tension,train,1.0,406.21521268229174,465.76309033698595,-0.8731112086454595,15
shear_only,tension,train,2.0,312.6672814960937,355.80548878624927,-0.6598789024956444,15
shear_only,overall,test,-1.0,323.10520345823386,814.3606910609228,-2.617092143352308,257
shear_only,overall,train,-1.0,254.82486800352683,705.5449496866904,-2.8833041866327056,1247
