train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
tension_only,compression,test,0.0,1965.4606519639756,2066.6847532937377,-23.467380184556436,9
tension_only,compression,test,1.0,1657.3662143283418,1711.596039324208,-28.655485448004228,9
tension_only,compression,test,2.0,1858.5550649007162,1890.72903118943,-39.51377312387964,6
tension_only,compression,train,0.0,1814.63472797309,1946.1631455533966,-13.176126687993307,36
tension_only,compression,train,1.0,1479.930142919922,1571.045499201336,-12.20244758426983,35
tension_only,compression,train,2.0,1221.8216353691953,1307.2773806576129,-10.412741020642562,36
tension_only,shear,test,0.0,263.4217107671641,270.3910747949689,-5.778995625976104,99
tension_only,shear,test,1.0,155.9871990942984,162.95640680293116,-4.368483533943092,99
tension_only,shear,test,2.0,202.48531309728,240.1274379294707,-1.2386183400117292,23
tension_only,shear,train,0.0,211.81534963216407,234.41939084812884,-1.9110435786645357,400
tension_only,shear,train,1.0,140.52034542704916,155.49454766665158,-2.2507798397304097,379
tension_only,shear,train,2.0,73.07080399323137,78.07781595044912,-3.2134102038422094,315
tension_only,tension,test,0.0,523.218440625,698.2591892409495,-0.4297849999002128,4
tension_only,tension,test,1.0,312.504801965332,449.83083084154265,-0.5271950142206785,4
tension_only,tension,test,2.0,419.89382819824215,579.8033478328432,-0.7316856873768662,4
tension_only,tension,train,0.0,405.7345793640136,569.136693250563,-0.5420087884165463,16
tension_only,tension,train,1.0,302.08190275390626,389.7027152490972,-0.31129464260978223,15
tension_only,tension,train,2.0,252.19479096874997,325.19029427539186,-0.38652041434773055,15
tension_only,overall,test,-1.0,369.4859328665824,628.6089744309428,-1.155197734327622,257
tension_only,overall,train,-1.0,270.1816694352596,511.5923229786901,-1.0417382902894121,1247
