train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
weighted_all,compression,test,0.0,1451.9448748162108,1480.3204851924522,-14.806304644164065,80
weighted_all,compression,test,1.0,1398.071719706269,1416.984804992889,-25.851624339187293,80
weighted_all,compression,train,0.0,1249.297847530161,1301.5944741349363,-8.733610438351214,240
weighted_all,compression,train,1.0,1104.0190180173208,1141.9317032074116,-10.913680964298532,240
weighted_all,compression,train,2.0,1009.3722265365934,1063.3800076147766,-7.714072463011368,320
weighted_all,shear,test,0.0,321.68741892725524,330.48067263862106,-11.474309282040315,100
weighted_all,shear,test,1.0,187.27651653948132,194.62000128531807,-8.77923025327226,100
weighted_all,shear,train,0.0,271.63963619595677,294.3545261567305,-4.2632077213378485,400
weighted_all,shear,train,1.0,168.40355619951828,183.06448586893268,-4.393270692190459,400
weighted_all,shear,train,2.0,96.66102991633798,100.1998849927481,-8.891541692607143,300
weighted_all,unloading,test,0.0,584.4149016796475,751.7351887737236,-2.0256312119857016,80
weighted_all,unloading,test,1.0,380.4554674179303,477.79149788717507,-2.1990105509760394,80
weighted_all,unloading,test,2.0,461.4069828675641,582.3554706547512,-1.9620948818734267,80
weighted_all,unloading,train,0.0,566.7578640538038,682.2537592022417,-3.0026240531257535,320
weighted_all,unloading,train,1.0,333.51837578792026,416.7599061227067,-2.334998230092895,160
weighted_all,unloading,train,2.0,273.75936572553354,355.83747968576716,-1.7690813745373037,240
weighted_all,overall,test,-1.0,654.999848776139,857.561745494482,0.016806685651747366,600
weighted_all,overall,train,-1.0,531.77040097466,715.0536648462071,-0.0036070451601240006,2620
