train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
shear_only,compression,test,0.0,830.098056449509,856.4666231431858,-13.018401236619047,80
shear_only,compression,test,1.0,1078.277147779244,1095.5025422602482,-28.152779772699496,80
shear_only,compression,test,2.0,1700.6723993008686,1780.8470246311492,-10.05871999575725,80
shear_only,compression,train,0.0,1103.091235905835,1169.9664557408685,-7.418578139384671,320
shear_only,compression,train,1.0,1344.6109437342936,1435.6757940002485,-6.930835878637856,240
shear_only,compression,train,2.0,1486.8974434434153,1534.3628243481387,-14.807978672726135,160
shear_only,shear,test,0.0,92.27364637587398,95.66777683781167,-10.368016311381075,100
shear_only,shear,test,2.0,253.60049041338945,263.46489027338134,-12.225995716647965,100
shear_only,shear,train,0.0,285.57745689852874,310.464580096572,-5.2231865364693215,400
shear_only,shear,train,1.0,366.2356252496696,383.45542379929424,-10.028747916308333,400
shear_only,shear,train,2.0,277.77034066823495,293.908612192524,-8.133928159179364,300
shear_only,unloading,test,0.0,244.41237080082152,319.0013882545071,-1.6262220041104998,80
shear_only,unloading,test,1.0,242.54128307253896,324.2320875582913,-1.252754071088579,80
shear_only,unloading,test,2.0,297.33243599596324,400.85510113142465,-0.5875509221977084,80
shear_only,unloading,train,0.0,273.68104983663824,385.0149708063555,-1.0298021858515543,240
shear_only,unloading,train,1.0,344.669042204726,506.9024202696543,-0.5405411866813432,320
shear_only,unloading,train,2.0,269.12503979860537,378.53044336728345,-0.41586653240210314,320
shear_only,overall,test,-1.0,567.7266311041793,809.5647164570229,-0.14141021666644038,680
shear_only,overall,train,-1.0,562.8715948883901,768.9152662115414,-0.013997321635165427,2700
