train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
unloading_only,compression,test,0.0,765.6083826442722,785.0078653911518,-10.776754360491077,80
unloading_only,compression,test,1.0,1044.0407061670003,1058.4182490921162,-26.212461710270638,80
unloading_only,compression,test,2.0,1674.3661582654072,1751.2687537366826,-9.694419850143891,80
unloading_only,compression,train,0.0,1038.6015621005981,1100.265763920515,-6.4453844175549815,320
unloading_only,compression,train,1.0,1310.37450212205,1398.8559965481331,-6.529258783630391,240
unloading_only,compression,train,2.0,1460.591202407954,1505.1575203289635,-14.211922771119168,160
unloading_only,shear,test,0.0,77.27386214662519,79.83468264813409,-6.916560425745906,100
unloading_only,shear,test,2.0,247.37941350982274,256.91793553548314,-11.576845548476348,100
unloading_only,shear,train,0.0,270.57767266928,294.5966212097692,-4.6033044721914775,400
unloading_only,shear,train,1.0,358.12527699701553,374.5776046852932,-9.523981024981984,400
unloading_only,shear,train,2.0,271.5503351370481,287.3216400141671,-7.72910345517419,300
unloading_only,unloading,test,0.0,345.90969205684684,412.3788167034901,-3.3887312385931034,80
unloading_only,unloading,test,1.0,291.7320954577798,371.66069108353355,-1.960022814537449,80
unloading_only,unloading,test,2.0,317.0478070706489,432.5925398348302,-0.8488892043856964,80
unloading_only,unloading,train,0.0,368.52657203068804,472.27165024473476,-2.0540928401154743,240
unloading_only,unloading,train,1.0,377.35369301251956,547.0296607804307,-0.7940987114175564,320
unloading_only,unloading,train,2.0,289.43348824172665,407.55445543351516,-0.6413151561800732,320
unloading_only,overall,test,-1.0,569.9436983802958,796.2580539828348,-0.10419630137622038,680
unloading_only,overall,train,-1.0,561.2227883196713,754.625749159376,0.023340720559418382,2700
