color,loading,time_days,r2,rmse_pa,n_points
green,compression,0.0,0.9048707485198976,93.26217351001692,80
green,compression,1.0,0.9378554821014404,74.01879973928077,80
green,compression,2.0,0.9520283937454224,71.52991889325054,80
green,shear,0.0,0.967797577381134,19.01180181882921,100
green,shear,1.0,0.96515154838562,12.618102351701218,100
green,shear,2.0,0.8083092570304871,11.71854947745107,100
green,unloading,0.0,0.957766890525818,69.74783682801568,80
green,unloading,1.0,0.9895648956298828,25.818900065377253,80
green,unloading,2.0,0.9581838250160216,43.92662310915144,80
red,compression,0.0,0.9699036478996276,47.22852883106645,80
red,compression,1.0,0.9472584128379822,77.30852733326059,80
red,compression,2.0,0.9594850540161132,81.53852018179812,80
red,shear,0.0,0.9513298273086548,18.28964901211415,100
red,shear,1.0,0.9513508081436156,22.715391558850023,100
red,shear,2.0,0.8027223348617554,30.996863421839755,100
red,unloading,0.0,0.9565980434417723,47.7605441769472,80
red,unloading,1.0,0.984882652759552,43.14982726238238,80
red,unloading,2.0,0.96731698513031,56.49204650532121,80
