color,time_days,loading,variant,r2
green,0.0,compression,compression_only,-481.1381238176861
green,0.0,compression,unloading_only,-481.1398243938354
green,0.0,compression,shear_only,-32.29396021669541
green,0.0,compression,weighted_all,-324.4231008101872
green,0.0,unloading,compression_only,-494.8641562965398
green,0.0,unloading,unloading_only,-494.8663214780726
green,0.0,unloading,shear_only,-10.605512375845322
green,0.0,unloading,weighted_all,-291.7139946826119
green,0.0,shear,compression_only,-6.1954624292067955
green,0.0,shear,unloading_only,-6.195349690438138
green,0.0,shear,shear_only,-331.6883665124654
green,0.0,shear,weighted_all,-2.4937962809727616
green,1.0,compression,compression_only,-485.2141366866164
green,1.0,compression,unloading_only,-485.2133385202366
green,1.0,compression,shear_only,-33.78502040717234
green,1.0,compression,weighted_all,-323.12801282886454
green,1.0,unloading,compression_only,-926.403730389031
green,1.0,unloading,unloading_only,-926.4019767504268
green,1.0,unloading,shear_only,-22.644850519397192
green,1.0,unloading,weighted_all,-551.8525399119994
green,1.0,shear,compression_only,-28.181902131291636
green,1.0,shear,unloading_only,-28.182130853295877
green,1.0,shear,shear_only,-871.9526369218516
green,1.0,shear,weighted_all,-10.058412525559536
green,2.0,compression,compression_only,-396.63469409010537
green,2.0,compression,unloading_only,-396.6333830141354
green,2.0,compression,shear_only,-28.381351412104944
green,2.0,compression,weighted_all,-263.5617378159806
green,2.0,unloading,compression_only,-1295.3248020391975
green,2.0,unloading,unloading_only,-1295.3195752040892
green,2.0,unloading,shear_only,-32.12811742298713
green,2.0,unloading,weighted_all,-774.2522505979417
green,2.0,shear,compression_only,-308.83547002350434
green,2.0,shear,unloading_only,-308.8389064144586
green,2.0,shear,shear_only,-6298.961390161212
green,2.0,shear,weighted_all,-128.0989467082753
red,0.0,compression,compression_only,-539.3566253141212
red,0.0,compression,unloading_only,-539.3527247457688
red,0.0,compression,shear_only,-39.978449775148235
red,0.0,compression,weighted_all,-354.0722867266773
red,0.0,unloading,compression_only,-1143.8262940770137
red,0.0,unloading,unloading_only,-1143.816963296489
red,0.0,unloading,shear_only,-28.138719406384567
red,0.0,unloading,weighted_all,-683.22928316256
red,0.0,shear,compression_only,-13.918864791361473
red,0.0,shear,unloading_only,-13.91933584275484
red,0.0,shear,shear_only,-544.0570034941559
red,0.0,shear,weighted_all,-5.528835882760501
red,1.0,compression,compression_only,-381.4382130626896
red,1.0,compression,unloading_only,-381.4380380604454
red,1.0,compression,shear_only,-27.51559382474945
red,1.0,compression,weighted_all,-254.51928888850338
red,1.0,unloading,compression_only,-478.6261800798875
red,1.0,unloading,unloading_only,-478.6259958522329
red,1.0,unloading,shear_only,-9.53536910714704
red,1.0,unloading,weighted_all,-284.09172278004417
red,1.0,shear,compression_only,-4.687331426549764
red,1.0,shear,unloading_only,-4.68735064818696
red,1.0,shear,shear_only,-321.06604867204953
red,1.0,shear,weighted_all,-3.4593940655067152
red,2.0,compression,compression_only,-285.2666542012309
red,2.0,compression,unloading_only,-285.2679267103678
red,2.0,compression,shear_only,-20.34921705613274
red,2.0,compression,weighted_all,-193.95861220301967
red,2.0,unloading,compression_only,-606.5124094077709
red,2.0,unloading,unloading_only,-606.5158011721779
red,2.0,unloading,shear_only,-12.465035795688872
red,2.0,unloading,weighted_all,-361.434031447733
red,2.0,shear,compression_only,-24.047147401706372
red,2.0,shear,unloading_only,-24.046700760268937
red,2.0,shear,shear_only,-805.9959995852314
red,2.0,shear,weighted_all,-10.869061691558487
