color,cut_name,freshness_index,time_hours,time_days,mode,loading,point_index,deformation,stress_pa,stress_std_pa,n_used,n_total,used_samples,dropped_samples
green,sirloin tender steak,1,0,0.0,shear,shear,0,0.0008664634000000001,7.441359999999999,39.33348661553409,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,1,0.0013891402000000001,12.999632,35.43401461846648,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,2,0.0036446839999999996,35.789395999999996,34.61782971861153,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,3,0.00364467,35.789395999999996,34.61782971861153,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,4,0.0036446560000000005,35.789395999999996,34.61782971861153,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,5,0.0036446560000000005,35.789395999999996,34.61782971861153,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,6,0.01195228,82.03240000000001,33.32183002891648,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,7,0.01195226,82.03240000000001,33.32183002891648,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,8,0.01195226,82.03240000000001,33.32183002891648,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,9,0.01195226,82.03240000000001,33.32183002891648,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,10,0.01605595,102.41650000000001,15.355474764721539,4,5,"1,2,3,4",5
green,sirloin tender steak,1,0,0.0,shear,shear,11,0.020263859999999998,150.54240000000001,36.61458641361391,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,12,0.020263859999999998,150.54240000000001,36.61458641361391,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,13,0.020263839999999998,150.54240000000001,36.61458641361391,5,5,"1,2,3,4,5",
green,sirloin tender steak,1,0,0.0,shear,shear,14,0.025101659999999998,173.8032,36.47157949088578,5,5,"1,2,3,4,5",
