color,cut,mode,time_days,time_label,mean_stress_pa,peak_abs_stress_pa,peak_stress_pa,peak_deformation,mean_point_std_pa,mean_samples_used
green,sirloin steak,shear,0.0,Day 0,322.9457872002697,454.31430215827334,454.31430215827334,0.194052,37.28849010162215,5.0
green,sirloin steak,shear,1.0,Day 1,204.7209649342647,272.786,272.786,0.189612,22.89554190246649,5.0
green,sirloin steak,shear,2.0,Day 2,112.58025107681814,136.341,136.341,0.191388,8.427306363064764,3.0
green,sirloin steak,uniaxial,0.0,Day 0,-535.439537480979,1989.8200928993874,-1989.8200928993874,0.8182208712932227,142.7448529716983,4.5
green,sirloin steak,uniaxial,1.0,Day 1,-499.6720192718516,1748.0074311455546,-1748.0074311455546,0.8175245736527137,84.43536189511215,3.5
green,sirloin steak,uniaxial,2.0,Day 2,-447.9885070779825,1685.121531471364,-1685.121531471364,0.8175922936597043,100.09747062378766,4.0
red,new york strip steak,shear,0.0,Day 0,269.168203919343,336.768,336.768,0.18996500000000002,65.88931782781594,5.0
red,new york strip steak,shear,1.0,Day 1,370.120883392518,479.74732871143544,479.74732871143544,0.19034800000000002,32.28852761046992,4.0
red,new york strip steak,shear,2.0,Day 2,264.9838151629802,309.16513308511117,309.16513308511117,0.10807100888888888,26.223636755597308,4.0
red,new york strip steak,uniaxial,0.0,Day 0,-452.3346900025519,1735.1615878833022,-1735.1615878833022,0.8177353970543052,104.30419786402858,4.5
red,new york strip steak,uniaxial,1.0,Day 1,-496.05172495433396,1922.149828406757,-1922.149828406757,0.8175328376231876,150.62813376284856,4.5
red,new york strip steak,uniaxial,2.0,Day 2,-643.3440956362396,2224.375348774925,-2224.375348774925,0.8176524417312876,50.630713184169444,4.0
